,actual_name,place_name,zipcode,place_tweet_id,average_likes,average_reweets,positive_rate,negative_rate
0,The Metropolitan Museum of Art,The Metropolitan Museum of Art,10028,metmuseum,127.1,26.85,0,0
1,The Museum of Modern Art,MoMA The Museum of Modern Art,10019,MuseumModernArt,205.32,43.49,0.95,0.04
2,Guggenheim Museum,Guggenheim Museum,10128,Guggenheim,127.18,25.85,0.54,0.11
3,Whitney Museum,Whitney Museum,10014,whitneymuseum,72.79,14.62,0.53,0.14
4,Brooklyn Museum,Brooklyn Museum,11238,brooklynmuseum,18.17,3.34,0.39,0.1
5,The Jewish Museum,The Jewish Museum,10128,TheJewishMuseum,8.41,2.47,0.63,0.11
6,Fotografiska New York,Fotografiska New York,10010,FotografiskaNY,11,3.37,1,0
7,Merchant's House,Merchant's House,10011,MerchantsHouse,1.98,0.69,0.49,0.2
8,New Museum,New Museum,10019,newmuseum,11.31,2.95,0.88,0.1
9,Frick Collection,The Frick Collection,10021,frickcollection,27.1,5.62,0.48,0.05
10,The Morgan,The Morgan,10016,MorganLibrary,10.77,2.81,0.51,0.24
11,Neue Galerie New York,Neue Galerie New York,10028,NeueGalerieNY,14.24,2.18,0.83,0
12,Queens Museum,Queens Museum,11368,QueensMuseum,4.5,1.42,0.62,0.04
13,American Museum of Natural History,American Museum of Natural History,10024,AMNH,254.81,39.97,0.91,0.09
14,Bronx Museum of the Arts,The Bronx Museum of the Arts,10456,BronxMuseum,8.05,2.16,0,0
15,Museum of Arts and Design,Museum of Arts and Design,10023,MADmuseum,4.41,1.06,0.49,0.13
16,Intrepid Museum,"Intrepid Sea, Air & Space Museum",10036,IntrepidMuseum,11.18,1.92,0.47,0.2
17,Museum of Sex,Museum of Sex,10016,museumofsex,17.28,1.94,0.59,0.15
18,Cooper Hewitt,Cooper Hewitt,10128,cooperhewitt,11.67,3.04,0.63,0.04
19,El Museo del Barrio,El Museo del Barrio,10026,elmuseo,5.04,1.88,1,0
