,ZIPCODE,safety_level
0,11207,1
1,11212,1
2,10456,1
3,10467,1
4,10457,1
5,11208,1
6,11206,1
7,10029,1
8,10027,1
9,10452,1
10,11226,1
11,11233,1
12,10451,1
13,11201,1
14,10001,1
15,10002,1
16,11221,1
17,10458,1
18,10035,1
19,10453,1
20,10455,1
21,10468,1
22,11203,1
23,10460,1
24,11236,1
25,10459,1
26,11213,1
27,11434,1
28,10466,1
29,10036,1
30,10454,1
31,10003,1
32,10019,1
33,10025,1
34,10011,1
35,11385,1
36,10472,1
37,11368,1
38,11691,1
39,10473,2
40,11216,2
41,11373,2
42,11220,2
43,10463,2
44,11234,2
45,10462,2
46,11224,2
47,10031,2
48,11354,2
49,10469,2
50,11101,2
51,11225,2
52,10032,2
53,11432,2
54,11214,2
55,11211,2
56,10013,2
57,11217,2
58,11210,2
59,11372,2
60,10461,2
61,10009,2
62,10301,2
63,10026,2
64,10023,2
65,10314,2
66,11235,2
67,11237,2
68,10016,2
69,10022,2
70,11433,2
71,11377,2
72,10033,2
73,10018,2
74,11209,2
75,10012,2
76,11205,2
77,11238,2
78,10304,3
79,11223,3
80,11229,3
81,10014,3
82,11435,3
83,11215,3
84,11369,3
85,10465,3
86,10030,3
87,11355,3
88,10303,3
89,11230,3
90,11420,3
91,10034,3
92,11103,3
93,10039,3
94,10010,3
95,11219,3
96,10024,3
97,10306,3
98,11419,3
99,11231,3
100,11222,3
101,11375,3
102,11370,3
103,10475,3
104,11413,3
105,10017,3
106,11232,3
107,11218,3
108,11204,3
109,11106,3
110,11418,3
111,10065,3
112,11412,3
113,10040,3
114,11417,3
115,10305,3
116,10028,3
117,11249,4
118,10128,4
119,10310,4
120,10474,4
121,11367,4
122,11102,4
123,10037,4
124,10038,4
125,10007,4
126,11378,4
127,11365,4
128,10302,4
129,11692,4
130,10312,4
131,11421,4
132,11374,4
133,11239,4
134,11422,4
135,11105,4
136,11429,4
137,11423,4
138,11693,4
139,10021,4
140,11228,4
141,11416,4
142,11356,4
143,11379,4
144,11436,4
145,11428,4
146,11361,4
147,10470,4
148,11414,4
149,10309,4
150,11357,4
151,11358,4
152,11104,4
153,11694,4
154,10471,4
155,11411,4
156,11364,5
157,10075,5
158,10308,5
159,10004,5
160,11427,5
161,10307,5
162,83,5
163,11426,5
164,11415,5
165,10005,5
166,10020,5
167,11362,5
168,10006,5
169,11360,5
170,11366,5
171,11004,5
172,10464,5
173,10280,5
174,11363,5
175,10282,5
176,10044,5
177,11001,5
178,11005,5
179,11251,5
180,10281,5
181,11040,5
182,11697,5
183,10112,5
184,11109,5
185,10069,5
186,10048,5
187,10111,5
188,11430,5
189,11371,5
190,11096,5
191,10115,5
192,11451,5
193,10169,5
194,10080,5
195,11359,5
